projectName,status,type,carpetArea,price,balcony,bathrooms,furnishedType,landmark,fullAddress,pincode,slug,possessionDate,listingType,floorPlanImage
Sainath Vrindavan,UNDER_CONSTRUCTION,2BHK,728.5,19000000,2.0,2,UNFURNISHED,JBCN International School Mulund,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,400081,luxury-sainath-vrindavan-ashoknagar-chembur-mumbai-216861,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210675-be2512dbfae0b3f7.jpg
Sainath Vrindavan,UNDER_CONSTRUCTION,3BHK,1240.22,33000000,2.0,3,UNFURNISHED,JBCN International School Mulund,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,400081,luxury-sainath-vrindavan-ashoknagar-chembur-mumbai-216861,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210681-7ca76e0e6739c3c1.jpg
Avenue 15,UNDER_CONSTRUCTION,1BHK,416.56,9890000,0.0,1,UNFURNISHED,JBCN International School Parel,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,400015,avenue-15-ashoknagar-chembur-mumbai-140508,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136185-abf1e76a1175f931.jpg
Avenue 15,UNDER_CONSTRUCTION,1BHK,438.63,14000000,1.0,1,UNFURNISHED,JBCN International School Parel,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,400015,avenue-15-ashoknagar-chembur-mumbai-140508,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136186-d8d90b0f32b32c7f.jpg
Avenue 15,UNDER_CONSTRUCTION,2BHK,653.15,15000000,2.0,2,UNFURNISHED,JBCN International School Parel,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,400015,avenue-15-ashoknagar-chembur-mumbai-140508,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136187-1ecea6707162bfe7.jpg
Swaroop Aditya Avenue,UNDER_CONSTRUCTION,Office,239.0,5975000,,1,UNFURNISHED,Infiniti Mall ,"Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",400099,swaroop-aditya-avenue-ashoknagar-chembur-mumbai-422427,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417345-d65dfb1fd5d0d077.jpg
Swaroop Aditya Avenue,UNDER_CONSTRUCTION,Office,309.0,7720000,,1,UNFURNISHED,Infiniti Mall ,"Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",400099,swaroop-aditya-avenue-ashoknagar-chembur-mumbai-422427,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417346-59bcce3ff8c17194.jpg
Swaroop Aditya Avenue,UNDER_CONSTRUCTION,Office,634.0,15000000,,0,UNFURNISHED,Infiniti Mall ,"Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",400099,swaroop-aditya-avenue-ashoknagar-chembur-mumbai-422427,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417348-0cca2389f798785c.jpg
Marigold miraaya ,UNDER_CONSTRUCTION,2BHK,637.76,8900000,2.0,2,UNFURNISHED,R Mall,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",400080,luxury-marigold-miraaya--ashoknagar-chembur-mumbai-870766,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866053-185c21624393f002.jpg
Marigold miraaya ,UNDER_CONSTRUCTION,2BHK,783.83,10000000,2.0,2,UNFURNISHED,R Mall,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",400080,luxury-marigold-miraaya--ashoknagar-chembur-mumbai-870766,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-1c8c078c7503aa74.jpg
Marigold miraaya ,UNDER_CONSTRUCTION,2BHK,719.46,10000000,0.0,2,UNFURNISHED,R Mall,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",400080,luxury-marigold-miraaya--ashoknagar-chembur-mumbai-870766,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-f05bbc2ef47cc262.jpg
Marigold miraaya ,UNDER_CONSTRUCTION,3BHK,1090.59,15000000,2.0,3,UNFURNISHED,R Mall,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",400080,luxury-marigold-miraaya--ashoknagar-chembur-mumbai-870766,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-66f1c36cd5370f62.jpg
Balaji Kanha	,UNDER_CONSTRUCTION,1BHK,422.0,4190000,1.0,1,UNFURNISHED,Lodha Xperia Mall,64C5+C63 Dombivli East Dombivli Maharashtra 421301,421201,balaji-kanha--ashoknagar-chembur-mumbai-678207,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672773-6523197b4bafe2f8.jpg
Balaji Kanha	,UNDER_CONSTRUCTION,2BHK,580.0,5770000,2.0,2,UNFURNISHED,Lodha Xperia Mall,64C5+C63 Dombivli East Dombivli Maharashtra 421301,421201,balaji-kanha--ashoknagar-chembur-mumbai-678207,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672776-9c48211b8fc08a50.jpg
Bhoomi antara ,UNDER_CONSTRUCTION,2BHK,518.71,17000000,0.0,2,UNFURNISHED,R City,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",400077,luxury-bhoomi-antara--ashoknagar-chembur-mumbai-093979,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089519-382dc615d1a8a01c.jpg
Bhoomi antara ,UNDER_CONSTRUCTION,2BHK,712.68,24000000,2.0,2,UNFURNISHED,R City,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",400077,luxury-bhoomi-antara--ashoknagar-chembur-mumbai-093979,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089523-4a25ba0ab26ba4af.jpg
Bhoomi antara ,UNDER_CONSTRUCTION,3BHK,1098.46,37000000,0.0,3,UNFURNISHED,R City,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",400077,luxury-bhoomi-antara--ashoknagar-chembur-mumbai-093979,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089524-85f5063857a9e066.jpg
