projectName,status,type,carpetArea,price,balcony,bathrooms,furnishedType,landmark,fullAddress,pincode,slug,possessionDate,listingType,floorPlanImage
TESTING,READY_TO_MOVE,4BHK,12.0,20000000,2.0,1,SEMI_FURNISHED,LANDMARK,ADDRESS,123456,testing-somwarpeth-camp-pune-281770,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758450157387-61f41f3b1aba317d.jpg
TESTING,READY_TO_MOVE,4.5BHK,122.0,10000000,2.0,1,UNFURNISHED,LANDMARK,ADDRESS,123456,testing-somwarpeth-camp-pune-281770,,Sell,
testing igi,READY_TO_MOVE,House_Villa,8.0,80000000,4.0,5,SEMI_FURNISHED,sedrftgyhuj,awsedrftgyhujk,123456,testing-igi-somwarpeth-camp-pune-541659,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758607532938-1eb357675429379e.jpg
testing igi,READY_TO_MOVE,3BHK,69.0,960000000,88.0,99,UNFURNISHED,sedrftgyhuj,awsedrftgyhujk,123456,testing-igi-somwarpeth-camp-pune-541659,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758607532944-ac73972e2cdcdbfb.jpg
some project testing,UNDER_CONSTRUCTION,4BHK,2.0,30000000,12.0,10,UNFURNISHED,landmark,address,828123,some-project-testing-somwarpeth-camp-pune-246958,2025-09-24 00:00:00,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758620243241-c0143b04ebeb03b2.jpg
QUEENS PARK,UNDER_CONSTRUCTION,1BHK,413.23,10900000,1.0,1,UNFURNISHED,Jain mandir ,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",400071,queens-park-subhashnagar-chembur-mumbai-554402,2025-12-31 00:00:00,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758705551545-37ea5c3b2ad1281f.jpeg
QUEENS PARK,UNDER_CONSTRUCTION,2BHK,705.14,18700000,2.0,2,UNFURNISHED,Jain mandir ,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",400071,queens-park-subhashnagar-chembur-mumbai-554402,2025-12-31 00:00:00,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758705551547-58f19a494160e237.jpeg
QUEENS PARK,UNDER_CONSTRUCTION,2BHK,646.91,17200000,2.0,2,UNFURNISHED,Jain mandir ,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",400071,queens-park-subhashnagar-chembur-mumbai-554402,2025-12-31 00:00:00,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758705551549-35d879317c8edbda.jpeg
QUEENS PARK,UNDER_CONSTRUCTION,3BHK,901.26,23900000,3.0,3,UNFURNISHED,Jain mandir ,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",400071,queens-park-subhashnagar-chembur-mumbai-554402,2025-12-31 00:00:00,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758705551551-788c3a56eab050d8.jpeg
testring999,UNDER_CONSTRUCTION,3BHK,7.0,80000000,9.0,9,UNFURNISHED,esrdfghbj,sdfghj,123456,testring999-somwarpeth-camp-pune-222053,2025-09-25 00:00:00,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758708115716-31db7b2bcb6394ec.webp
